Category,Spanish,English
"animales","León","Lion"
"animales","Elefante","Elephant"
"animales","Jirafa","Giraffe"
"animales","Serpiente","Snake"
"animales","Águila","Eagle"
"animales","Delfín","Dolphin"
"animales","Gorila","Gorilla"
"animales","Canguro","Kangaroo"
"animales","Pingüino","Penguin"
"animales","Mariposa","Butterfly"
"animales","Tiburón","Shark"
"animales","Tortuga","Turtle"
"animales","Caballo","Horse"
"animales","Gato","Cat"
"animales","Perro","Dog"
"animales","Oso","Bear"
"animales","Conejo","Rabbit"
"animales","Lobo","Wolf"
"animales","Zorro","Fox"
"animales","Búho","Owl"
"animales","Mono","Monkey"
"animales","Tigre","Tiger"
"animales","Cocodrilo","Crocodile"
"animales","Ratón","Mouse"
"animales","Vaca","Cow"
"animales","Cerdo","Pig"
"animales","Gallina","Chicken"
"animales","Araña","Spider"
"animales","Abeja","Bee"
"animales","Pulpo","Octopus"
"animales","Loro","Parrot"
"animales","Foca","Seal"
"animales","Camaleón","Chameleon"
"animales","Rinoceronte","Rhino"
"animales","Hipopótamo","Hippo"
"animales","Murciélago","Bat"
"animales","Ardilla","Squirrel"
"animales","Cebra","Zebra"
"animales","Cangrejo","Crab"
"animales","Medusa","Jellyfish"
"animales","Pájaro Carpintero","Woodpecker"
"animales","Oso Hormiguero","Anteater"
"animales","Camello","Camel"
"animales","Perro saltando","Dog jumping"
"animales","Gato maullando","Cat meowing"
"animales","Pájaro volando","Bird flying"
"animales","Pez nadando","Fish swimming"
"animales","Mono comiendo banana","Monkey eating banana"
"animales","Perro persiguiendo su cola","Dog chasing tail"
"peliculas","Titanic","Titanic"
"peliculas","Batman","Batman"
"peliculas","Spider-Man","Spider-Man"
"peliculas","Frozen","Frozen"
"peliculas","Shrek","Shrek"
"peliculas","Matrix","Matrix"
"peliculas","Avatar","Avatar"
"peliculas","Rocky","Rocky"
"peliculas","Pinocho","Pinocchio"
"peliculas","Aladdin","Aladdin"
"peliculas","Cenicienta","Cinderella"
"peliculas","Toy Story","Toy Story"
"peliculas","Jurassic Park","Jurassic Park"
"peliculas","Indiana Jones","Indiana Jones"
"peliculas","Star Wars","Star Wars"
"peliculas","Harry Potter","Harry Potter"
"peliculas","El Rey León","The Lion King"
"peliculas","Nemo","Nemo"
"peliculas","Coco","Coco"
"peliculas","Encanto","Encanto"
"peliculas","Ratatouille","Ratatouille"
"peliculas","Moana","Moana"
"peliculas","Up","Up"
"peliculas","Cars","Cars"
"peliculas","Rapunzel","Rapunzel"
"peliculas","Mulan","Mulan"
"peliculas","Terminator","Terminator"
"peliculas","Gladiador","Gladiator"
"peliculas","Tarzan","Tarzan"
"peliculas","Peter Pan","Peter Pan"
"peliculas","Dumbo","Dumbo"
"peliculas","Bambi","Bambi"
"peliculas","Luca","Luca"
"peliculas","Soul","Soul"
"peliculas","Juego de Tronos","Game of Thrones"
"peliculas","La Casa de Papel","Money Heist"
"peliculas","Stranger Things","Stranger Things"
"peliculas","Misión Imposible","Mission Impossible"
"peliculas","Mago de Oz","Wizard of Oz"
"peliculas","Piratas del Caribe","Pirates of the Caribbean"
"peliculas","El Padrino","The Godfather"
"peliculas","Tiburón atacando","Shark attacking"
"peliculas","Volar como Superman","Flying like Superman"
"peliculas","Hombre Araña trepando","Spider-Man climbing"
"peliculas","Titanic hundiéndose","Titanic sinking"
"heroes","Superman","Superman"
"heroes","Batman","Batman"
"heroes","Spider-Man","Spider-Man"
"heroes","Iron Man","Iron Man"
"heroes","Thor","Thor"
"heroes","Hulk","Hulk"
"heroes","Flash","Flash"
"heroes","Aquaman","Aquaman"
"heroes","Wonder Woman","Wonder Woman"
"heroes","Capitán América","Captain America"
"heroes","Wolverine","Wolverine"
"heroes","Deadpool","Deadpool"
"heroes","Doctor Strange","Doctor Strange"
"heroes","Black Panther","Black Panther"
"heroes","Robin","Robin"
"heroes","Linterna Verde","Green Lantern"
"heroes","Ant-Man","Ant-Man"
"heroes","Hawkeye","Hawkeye"
"heroes","Venom","Venom"
"heroes","Thanos","Thanos"
"heroes","Scarlet Witch","Scarlet Witch"
"heroes","Joker","Joker"
"heroes","Catwoman","Catwoman"
"heroes","Loki","Loki"
"heroes","Groot","Groot"
"heroes","Gamora","Gamora"
"heroes","Shazam","Shazam"
"heroes","Cyborg","Cyborg"
"heroes","Storm","Storm"
"heroes","Magneto","Magneto"
"heroes","Professor X","Professor X"
"heroes","Daredevil","Daredevil"
"heroes","Luke Cage","Luke Cage"
"heroes","Nightwing","Nightwing"
"heroes","Iron Man volando","Iron Man flying"
"heroes","Hulk aplastando","Hulk smashing"
"heroes","Capitán América lanzando escudo","Captain America throwing shield"
"heroes","Thor llamando al trueno","Thor calling thunder"
"heroes","Flash corriendo rápido","Flash running fast"
"heroes","Mujer Maravilla usando lazo","Wonder Woman using lasso"
"accion","Correr","Run"
"accion","Saltar","Jump"
"accion","Nadar","Swim"
"accion","Bailar","Dance"
"accion","Cocinar","Cook"
"accion","Dormir","Sleep"
"accion","Volar","Fly"
"accion","Conducir","Drive"
"accion","Escalar","Climb"
"accion","Boxear","Box"
"accion","Surfear","Surf"
"accion","Patinar","Skate"
"accion","Cantar","Sing"
"accion","Llorar","Cry"
"accion","Reír","Laugh"
"accion","Estornudar","Sneeze"
"accion","Aplaudir","Clap"
"accion","Silbar","Whistle"
"accion","Bostezar","Yawn"
"accion","Pintar","Paint"
"accion","Pescar","Fish"
"accion","Bucear","Dive"
"accion","Disparar","Shoot"
"accion","Lanzar","Throw"
"accion","Atrapar","Catch"
"accion","Empujar","Push"
"accion","Jalar","Pull"
"accion","Gritar","Scream"
"accion","Rezar","Pray"
"accion","Meditar","Meditate"
"accion","Barrer","Sweep"
"accion","Planchar","Iron"
"accion","Coser","Sew"
"accion","Tejer","Knit"
"accion","Esquiar","Ski"
"accion","Tomar sopa","Eating soup"
"accion","Caminata lunar","Moonwalk"
"accion","Matar moscas","Killing flies"
"accion","Cambiar bombita","Changing lightbulb"
"accion","Inflar globo","Inflating balloon"
"accion","Abrir paraguas","Opening umbrella"
"accion","Cepillarse los dientes","Brushing teeth"
"accion","Atarse los cordones","Tying shoelaces"
"accion","Tocar la puerta","Knocking on door"
"accion","Saltar la soga","Jumping rope"
"deportes","Fútbol","Soccer"
"deportes","Basketball","Basketball"
"deportes","Tenis","Tennis"
"deportes","Natación","Swimming"
"deportes","Boxeo","Boxing"
"deportes","Surf","Surfing"
"deportes","Karate","Karate"
"deportes","Voleibol","Volleyball"
"deportes","Golf","Golf"
"deportes","Béisbol","Baseball"
"deportes","Hockey","Hockey"
"deportes","Rugby","Rugby"
"deportes","Ciclismo","Cycling"
"deportes","Esquí","Skiing"
"deportes","Skateboard","Skateboarding"
"deportes","Ping Pong","Ping Pong"
"deportes","Bádminton","Badminton"
"deportes","Lucha","Wrestling"
"deportes","Judo","Judo"
"deportes","Esgrima","Fencing"
"deportes","Polo","Polo"
"deportes","Escalada","Climbing"
"deportes","Remo","Rowing"
"deportes","Arquería","Archery"
"deportes","Gimnasia","Gymnastics"
"deportes","Atletismo","Athletics"
"deportes","Snowboard","Snowboarding"
"deportes","Patinaje","Skating"
"deportes","Triatlón","Triathlon"
